Date,Year,Month,Season,Origin,Destination,Flight_Type,Flight_ID,Aircraft_Type,Shipment_Count,Cargo_Weight_KG,Cargo_Volume_CBM,ULD_Count,ULD_Type,Pallet_Count,Nature_of_Goods,Cargo_Mix_Complexity,Manpower_Assigned,Forklift_Count,Equipment_Availability,Shift,Weather_Condition,Build_Up_Time_Minutes
2024-06-03,2024,6,Hajj,JED,KUL,International,GF6481,B787-9,291,14447.8,49.65,8,AKE,2,General Cargo,Low,11,3,High,Afternoon,Clear,203.8
2024-06-03,2024,6,Hajj,JED,DEL,International,EY2578,A321,96,4508.8,27.88,4,AKE,2,Fresh Produce,Medium,6,3,Medium,Afternoon,Rain,152.3
2024-06-03,2024,6,Hajj,JED,LHR,International,GF399,A330-300,197,8117.1,53.73,5,AKE,3,Fresh Produce,Medium,8,2,Medium,Morning,Rain,200.5
2024-06-03,2024,6,Hajj,JED,DOH,International,EY4222,B777F,329,17163.1,78.26,11,AKE,6,Pharmaceuticals,High,13,5,Low,Morning,Clear,317.5
2024-06-03,2024,6,Hajj,JED,AMS,International,TK9409,A321,149,7130.2,42.74,8,AKE,3,Fresh Produce,High,9,1,Low,Night,Clear,209.6
2024-06-03,2024,6,Hajj,JED,DOH,International,QR9986,B777F,329,6150.7,23.19,7,PAG,4,Valuable Cargo,High,11,3,Low,Afternoon,Clear,257.9
2024-06-03,2024,6,Hajj,JED,CAI,International,EK2972,A330-300,415,2630.5,22.62,2,AKE,0,E-commerce,Low,8,1,Low,Afternoon,Fog,220.2
2024-06-03,2024,6,Hajj,JED,KWI,International,TK6928,B777F,330,15217.1,58.47,9,PMC,4,General Cargo,Low,15,3,Medium,Afternoon,Clear,238.1
2024-06-03,2024,6,Hajj,JED,BAH,International,EY602,A321,129,6282.1,10.33,1,PMC,0,Automotive Parts,Medium,6,1,Medium,Morning,Clear,145.9
2024-06-03,2024,6,Hajj,JED,AUH,International,EK3475,A330-300,306,11206.2,101.41,11,PLA,2,Textiles,Low,9,2,Medium,Morning,Clear,259.5
2024-06-03,2024,6,Hajj,JED,AMS,International,EY6198,A330-300,291,12923.5,42.42,7,PLA,3,General Cargo,Low,12,3,High,Afternoon,Rain,215.6
2024-06-03,2024,6,Hajj,JED,DMM,Domestic,QR6288,A321,178,2399.3,5.93,1,PMC,1,General Cargo,Low,8,1,Low,Afternoon,Fog,162.7
2024-06-03,2024,6,Hajj,JED,DMM,Domestic,EK1806,A321,69,3163.0,18.13,3,AKE,0,General Cargo,Low,3,1,Medium,Morning,Rain,85.2
2024-06-03,2024,6,Hajj,JED,RUH,Domestic,SV888,A321,81,1147.3,5.0,2,AKE,1,General Cargo,Low,2,1,Low,Night,Clear,109.1
2024-06-04,2024,6,Hajj,JED,DAC,International,GF2707,A330-300,265,5680.5,16.68,5,AKE,2,Live Animals,Medium,9,3,High,Night,Clear,185.8
2024-06-04,2024,6,Hajj,JED,DAC,International,GF5979,A330-300,264,14559.1,66.25,6,AKE,2,Electronics,High,10,2,Medium,Night,Clear,236.0
2024-06-04,2024,6,Hajj,JED,RUH,Domestic,SV1783,B737-800,186,1169.3,5.96,1,AKE,1,E-commerce,Low,6,1,Low,Afternoon,Fog,149.9
2024-06-04,2024,6,Hajj,JED,AMS,International,QR4741,A330-300,207,11129.0,40.39,7,AKE,2,Valuable Cargo,Medium,11,2,Low,Morning,Clear,217.0
2024-06-04,2024,6,Hajj,JED,AMS,International,EK1947,B777F,277,15820.6,164.62,21,AKE,12,Textiles,Medium,14,5,Medium,Morning,Clear,327.7
2024-06-04,2024,6,Hajj,JED,LHR,International,EK5902,B737-800,136,2272.1,10.71,1,AKE,1,Pharmaceuticals,Medium,7,2,Low,Morning,Clear,124.6
2024-06-04,2024,6,Hajj,JED,CAN,International,QR3684,A330-300,334,21330.3,31.62,2,PMC,0,Industrial Equipment,Medium,10,2,Medium,Afternoon,Clear,248.6
2024-06-04,2024,6,Hajj,JED,KWI,International,QR5397,B777F,317,7019.9,23.94,5,PMC,1,Seafood,Medium,12,3,Medium,Night,Storm,235.4
2024-06-04,2024,6,Hajj,JED,RUH,Domestic,QR1408,A321,213,8243.6,58.77,8,AKE,1,General Cargo,Low,5,2,Medium,Night,Clear,189.9
2024-06-04,2024,6,Hajj,JED,FRA,International,QR3204,B787-9,229,4584.8,13.78,7,PMC,3,Fresh Produce,Medium,12,3,High,Morning,Clear,163.7
2024-06-04,2024,6,Hajj,JED,DAC,International,SV8326,B787-9,183,16779.6,28.5,5,AKE,0,Industrial Equipment,High,8,3,High,Morning,Clear,162.1
2024-06-04,2024,6,Hajj,JED,AUH,International,EY7899,B787-9,254,8374.6,25.42,7,PMC,4,General Cargo,Low,10,2,Medium,Morning,Clear,197.7
2024-06-04,2024,6,Hajj,JED,CAN,International,EK8783,B787-9,340,6055.5,26.04,7,PMC,4,Pharmaceuticals,Medium,10,4,Medium,Night,Clear,243.7
2024-06-04,2024,6,Hajj,JED,BAH,International,EK840,B787-9,317,17765.4,231.98,23,PMC,11,Textiles,Medium,17,5,High,Afternoon,Clear,360.5
2024-06-04,2024,6,Hajj,JED,DMM,Domestic,QR2425,A320,299,9370.7,76.74,9,AKE,3,Textiles,Medium,11,2,Medium,Night,Clear,241.1
2024-06-04,2024,6,Hajj,JED,RUH,Domestic,TK303,A321,148,4875.8,12.34,2,AKE,1,Seafood,Medium,2,1,Low,Night,Clear,187.9
2024-06-04,2024,6,Hajj,JED,KWI,International,EY5059,B787-9,174,18487.6,40.04,7,AKE,2,Automotive Parts,Medium,10,4,Medium,Morning,Clear,200.9
2024-06-04,2024,6,Hajj,JED,DXB,International,SV2569,B787-9,302,8556.4,26.03,4,AKE,0,General Cargo,Low,10,3,Medium,Afternoon,Clear,164.0
2024-06-04,2024,6,Hajj,JED,CDG,International,EY1333,B777F,422,3404.9,29.98,9,PAG,5,E-commerce,Medium,14,3,Medium,Night,Fog,295.0
2024-06-04,2024,6,Hajj,JED,DXB,International,TK8807,A330-300,351,1854.4,17.54,5,PMC,3,E-commerce,Medium,13,3,Medium,Night,Clear,213.9
2024-06-04,2024,6,Hajj,JED,HKG,International,EK2084,B787-9,370,20224.0,58.65,9,AKE,3,Fresh Produce,Medium,12,3,Medium,Night,Clear,278.0
2024-06-04,2024,6,Hajj,JED,IST,International,SV4440,B737-800,295,1991.6,18.25,2,AKE,1,E-commerce,Medium,4,2,Medium,Morning,Rain,184.4
2024-06-04,2024,6,Hajj,JED,RUH,Domestic,EY4211,A320,209,6399.6,36.91,5,AKE,1,Fresh Produce,Low,10,3,Low,Afternoon,Clear,167.9
2024-06-04,2024,6,Hajj,JED,RUH,Domestic,GF7718,A321,160,2990.9,12.46,2,PLA,1,General Cargo,Low,5,1,Medium,Morning,Clear,143.1
2024-06-04,2024,6,Hajj,JED,DMM,Domestic,GF3093,A320,217,2476.9,15.88,1,AKE,0,General Cargo,Low,5,1,Medium,Night,Clear,128.2
2024-06-04,2024,6,Hajj,JED,DMM,Domestic,TK6528,A321,144,5059.1,15.74,5,AKE,2,Fresh Produce,Medium,6,3,Low,Afternoon,Clear,155.4
2024-06-04,2024,6,Hajj,JED,RUH,Domestic,SV3798,A321,158,4998.0,25.58,2,AKE,0,Valuable Cargo,Medium,8,1,Medium,Morning,Clear,155.6
2024-06-04,2024,6,Hajj,JED,BOM,International,EK1589,A330-300,226,4844.4,19.91,7,AKE,3,Seafood,High,8,3,Medium,Afternoon,Clear,193.8
2024-06-04,2024,6,Hajj,JED,KWI,International,EY5046,B777F,335,7957.4,25.71,6,AKE,1,Fresh Produce,Medium,10,3,Medium,Afternoon,Clear,200.2
2024-06-04,2024,6,Hajj,JED,CDG,International,TK6162,B787-9,279,27972.5,45.24,6,PMC,3,Industrial Equipment,Medium,12,3,Low,Morning,Rain,282.3
2024-06-04,2024,6,Hajj,JED,KUL,International,GF937,A330-300,234,25416.2,40.89,6,PMC,3,Industrial Equipment,High,9,2,Medium,Morning,Clear,244.3
2024-06-04,2024,6,Hajj,JED,RUH,Domestic,QR2168,A321,151,2246.0,14.99,2,AKE,0,Electronics,Medium,5,1,Low,Morning,Rain,182.5
2024-06-04,2024,6,Hajj,JED,CAN,International,GF7667,B777F,338,20511.5,78.84,13,PAG,7,Electronics,Medium,10,1,Low,Afternoon,Clear,352.6
2024-06-04,2024,6,Hajj,JED,CAI,International,GF8045,A330-300,373,3044.5,28.91,5,AKE,1,E-commerce,Medium,16,1,Medium,Morning,Clear,197.0
2024-06-04,2024,6,Hajj,JED,DAC,International,SV7485,B787-9,290,11626.2,39.7,7,AKE,3,General Cargo,Low,13,1,Medium,Morning,Storm,223.7
2024-06-04,2024,6,Hajj,JED,DMM,Domestic,QR3922,A320,133,5803.6,15.72,1,PMC,0,Electronics,Medium,10,1,Medium,Morning,Clear,123.7
2024-06-04,2024,6,Hajj,JED,RUH,Domestic,QR5834,B737-800,223,4166.4,17.86,4,AKE,3,General Cargo,Low,5,3,Medium,Afternoon,Clear,121.4
2024-06-04,2024,6,Hajj,JED,DAC,International,EK3346,B777F,222,5109.9,19.58,4,AKE,1,General Cargo,Low,11,3,Medium,Morning,Clear,132.6
2024-06-04,2024,6,Hajj,JED,RUH,Domestic,TK4377,A321,150,3925.1,14.87,3,AKE,0,Electronics,High,8,3,Medium,Night,Rain,155.4
2024-06-04,2024,6,Hajj,JED,RUH,Domestic,EY2982,A321,321,601.3,7.73,3,AKE,0,E-commerce,Medium,6,2,Medium,Morning,Clear,178.8
2024-06-04,2024,6,Hajj,JED,LHR,International,SV2559,B777F,312,28854.8,56.43,7,AKE,2,Industrial Equipment,High,15,3,High,Morning,Clear,250.6
2024-06-04,2024,6,Hajj,JED,FRA,International,EY8055,A321,211,1314.6,14.61,3,AKE,1,E-commerce,Low,8,1,Low,Afternoon,Rain,176.5
2024-06-04,2024,6,Hajj,JED,HKG,International,SV1545,B787-9,307,8100.6,46.91,6,PMC,1,Seafood,Medium,8,4,Medium,Morning,Clear,220.2
2024-06-05,2024,6,Hajj,JED,CAI,International,TK8856,A330-300,290,33198.5,54.95,6,PLA,1,Automotive Parts,Low,7,3,Medium,Afternoon,Clear,273.1
2024-06-05,2024,6,Hajj,JED,CAI,International,QR1873,B777F,329,18436.5,121.55,10,PMC,2,General Cargo,Low,13,3,Low,Afternoon,Clear,291.1
2024-06-05,2024,6,Hajj,JED,DOH,International,SV4175,B777F,361,10418.5,41.01,9,AKE,6,Seafood,High,13,1,Medium,Afternoon,Clear,266.9
2024-06-05,2024,6,Hajj,JED,RUH,Domestic,EK7636,B737-800,246,1208.4,14.11,1,AKE,1,E-commerce,Medium,6,2,Low,Morning,Clear,188.7
2024-06-05,2024,6,Hajj,JED,CAI,International,TK729,A330-300,313,14063.6,44.8,7,PMC,1,General Cargo,Low,10,3,Medium,Morning,Rain,232.0
2024-06-05,2024,6,Hajj,JED,RUH,Domestic,GF8354,A320,175,2623.0,9.58,1,AKE,0,Electronics,Medium,3,1,Medium,Morning,Clear,132.8
2024-06-05,2024,6,Hajj,JED,CAN,International,GF2128,A321,144,4940.0,18.91,3,AKE,1,Valuable Cargo,Medium,5,1,High,Afternoon,Rain,158.4
2024-06-05,2024,6,Hajj,JED,AMS,International,GF7264,A330-300,300,6353.9,22.75,5,AKE,1,Valuable Cargo,High,10,2,Low,Afternoon,Clear,226.3
2024-06-05,2024,6,Hajj,JED,IST,International,TK5427,A330-300,247,7817.4,27.34,4,PMC,2,Electronics,Medium,12,1,Medium,Afternoon,Clear,195.4
2024-06-05,2024,6,Hajj,JED,AMS,International,EY3659,B787-9,289,11238.7,33.17,6,PMC,3,Seafood,Medium,8,3,Medium,Night,Clear,228.7
2024-06-05,2024,6,Hajj,JED,FRA,International,SV9498,B777F,318,34848.2,64.52,11,PLA,3,Automotive Parts,Medium,11,2,Medium,Morning,Clear,355.0
2024-06-05,2024,6,Hajj,JED,KUL,International,SV467,B787-9,239,12286.9,57.07,8,AKE,4,General Cargo,Low,9,2,Medium,Night,Clear,220.9
2024-06-05,2024,6,Hajj,JED,DMM,Domestic,GF2431,B737-800,149,3419.0,8.57,3,AKE,0,Pharmaceuticals,Medium,8,3,Low,Afternoon,Clear,140.1
2024-06-05,2024,6,Hajj,JED,RUH,Domestic,GF7678,B737-800,136,6423.0,14.61,4,PMC,1,Automotive Parts,Low,5,1,Low,Night,Clear,173.8
2024-06-05,2024,6,Hajj,JED,RUH,Domestic,QR4449,B737-800,133,10543.2,14.39,4,PMC,2,Industrial Equipment,Medium,9,1,Low,Morning,Fog,206.0
2024-06-05,2024,6,Hajj,JED,KUL,International,SV9696,B777F,432,1751.3,14.45,5,PLA,0,E-commerce,Medium,12,3,Medium,Afternoon,Clear,223.6
2024-06-05,2024,6,Hajj,JED,FRA,International,QR7174,B737-800,148,5086.3,22.35,2,AKE,0,Electronics,Medium,4,1,Medium,Morning,Clear,136.8
2024-06-05,2024,6,Hajj,JED,AUH,International,EY7558,B777F,327,14813.1,41.92,10,PAG,3,Fresh Produce,Medium,10,3,Medium,Morning,Clear,266.9
2024-06-05,2024,6,Hajj,JED,BOM,International,SV6325,B777F,336,8977.0,39.7,5,PMC,2,Pharmaceuticals,Medium,11,2,Medium,Afternoon,Clear,238.0
2024-06-06,2024,6,Hajj,JED,LHR,International,SV2555,A321,100,4441.5,12.0,1,AKE,0,General Cargo,Low,4,1,Low,Afternoon,Storm,135.7
2024-06-06,2024,6,Hajj,JED,IST,International,SV9088,B787-9,259,7567.9,62.35,10,PMC,2,Textiles,Medium,13,4,Medium,Morning,Clear,194.4
2024-06-06,2024,6,Hajj,JED,AMS,International,EK308,B737-800,119,4279.4,11.74,1,AKE,0,Live Animals,Medium,6,2,Medium,Morning,Clear,131.3
2024-06-06,2024,6,Hajj,JED,DMM,Domestic,TK9478,A320,174,3659.4,19.8,1,PMC,0,Electronics,Medium,7,1,Medium,Afternoon,Clear,136.8
2024-06-06,2024,6,Hajj,JED,DOH,International,SV9758,B777F,443,1901.4,6.17,5,PMC,2,Mail,Low,10,3,High,Afternoon,Rain,230.4
2024-06-06,2024,6,Hajj,JED,BOM,International,QR9955,B777F,381,7594.7,34.03,7,AKE,3,Pharmaceuticals,High,13,3,Medium,Morning,Clear,261.7
2024-06-06,2024,6,Hajj,JED,DEL,International,EY3998,A330-300,294,8063.1,32.52,3,PMC,0,Fresh Produce,Medium,10,1,Medium,Morning,Clear,204.1
2024-06-06,2024,6,Hajj,JED,RUH,Domestic,QR8985,A320,140,6178.9,39.18,1,AKE,0,Seafood,Low,6,1,Low,Morning,Storm,154.0
2024-06-06,2024,6,Hajj,JED,CAN,International,GF1828,B777F,280,9823.0,33.46,9,PMC,3,General Cargo,Low,12,1,Low,Night,Clear,241.0
2024-06-06,2024,6,Hajj,JED,DMM,Domestic,TK2714,A321,212,8626.9,22.34,2,AKE,1,Fresh Produce,Medium,7,1,Medium,Morning,Clear,163.5
2024-06-06,2024,6,Hajj,JED,IST,International,TK8826,B777F,418,2493.4,31.3,5,PMC,3,E-commerce,Medium,12,2,Medium,Afternoon,Clear,240.8
2024-06-06,2024,6,Hajj,JED,KWI,International,EY2604,B787-9,341,14775.9,92.02,8,PMC,1,Valuable Cargo,High,9,3,Low,Morning,Clear,306.4
2024-06-06,2024,6,Hajj,JED,IST,International,EY4227,B777F,374,10785.9,28.81,4,PAG,3,General Cargo,Low,9,4,Low,Morning,Clear,231.4
2024-06-06,2024,6,Hajj,JED,LHR,International,TK840,B737-800,157,1289.2,5.0,1,AKE,1,Fresh Produce,Medium,6,3,Low,Morning,Clear,141.9
2024-06-06,2024,6,Hajj,JED,SIN,International,EY1565,B777F,293,6380.5,33.01,6,AKE,2,Valuable Cargo,Medium,12,3,Medium,Morning,Clear,227.1
2024-06-06,2024,6,Hajj,JED,KWI,International,EK3466,A330-300,211,11649.3,45.04,3,AKE,2,Live Animals,Medium,10,2,High,Afternoon,Clear,167.1
2024-06-06,2024,6,Hajj,JED,CAN,International,EY5532,B777F,338,14268.4,188.08,22,PMC,7,Textiles,Medium,19,3,Medium,Afternoon,Clear,365.0
2024-06-06,2024,6,Hajj,JED,KUL,International,SV4887,B777F,350,5649.4,27.84,7,PLA,3,Seafood,High,12,3,Medium,Afternoon,Storm,285.0
2024-06-06,2024,6,Hajj,JED,KUL,International,SV1571,B787-9,308,14529.0,154.46,18,PMC,10,Textiles,Medium,14,4,Low,Night,Clear,357.0
